Epi_week,Category,Incidence
2014_01,Brazil,0
2014_01,Amazonas,0
2014_01,Manaus,0
2014_02,Brazil,0
2014_02,Amazonas,0
2014_02,Manaus,0
2014_03,Brazil,0
2014_03,Amazonas,0
2014_03,Manaus,0
2014_04,Brazil,0
2014_04,Amazonas,0
2014_04,Manaus,0
2014_05,Brazil,0
2014_05,Amazonas,0
2014_05,Manaus,0
2014_06,Brazil,0
2014_06,Amazonas,0
2014_06,Manaus,0
2014_07,Brazil,0
2014_07,Amazonas,0
2014_07,Manaus,0
2014_08,Brazil,0
2014_08,Amazonas,0
2014_08,Manaus,0
2014_09,Brazil,0
2014_09,Amazonas,0
2014_09,Manaus,0
2014_10,Brazil,0
2014_10,Amazonas,0
2014_10,Manaus,0
2014_11,Brazil,0
2014_11,Amazonas,0
2014_11,Manaus,0
2014_12,Brazil,0
2014_12,Amazonas,0
2014_12,Manaus,0
2014_13,Brazil,0
2014_13,Amazonas,0
2014_13,Manaus,0
2014_14,Brazil,0
2014_14,Amazonas,0
2014_14,Manaus,0
2014_15,Brazil,0
2014_15,Amazonas,0
2014_15,Manaus,0
2014_16,Brazil,0
2014_16,Amazonas,0
2014_16,Manaus,0
2014_17,Brazil,0
2014_17,Amazonas,0
2014_17,Manaus,0
2014_18,Brazil,0
2014_18,Amazonas,0
2014_18,Manaus,0
2014_19,Brazil,0
2014_19,Amazonas,0
2014_19,Manaus,0
2014_20,Brazil,0
2014_20,Amazonas,0
2014_20,Manaus,0
2014_21,Brazil,0
2014_21,Amazonas,0
2014_21,Manaus,0
2014_22,Brazil,0
2014_22,Amazonas,0
2014_22,Manaus,0
2014_23,Brazil,0
2014_23,Amazonas,0
2014_23,Manaus,0
2014_24,Brazil,0
2014_24,Amazonas,0
2014_24,Manaus,0
2014_25,Brazil,0
2014_25,Amazonas,0
2014_25,Manaus,0
2014_26,Brazil,0
2014_26,Amazonas,0
2014_26,Manaus,0
2014_27,Brazil,0
2014_27,Amazonas,0
2014_27,Manaus,0
2014_28,Brazil,0
2014_28,Amazonas,0
2014_28,Manaus,0
2014_29,Brazil,0
2014_29,Amazonas,0
2014_29,Manaus,0
2014_30,Brazil,0
2014_30,Amazonas,0
2014_30,Manaus,0
2014_31,Brazil,0
2014_31,Amazonas,0
2014_31,Manaus,0
2014_32,Brazil,0
2014_32,Amazonas,0
2014_32,Manaus,0
2014_33,Brazil,0
2014_33,Amazonas,0
2014_33,Manaus,0
2014_34,Brazil,0
2014_34,Amazonas,0
2014_34,Manaus,0
2014_35,Brazil,0
2014_35,Amazonas,0
2014_35,Manaus,0
2014_36,Brazil,0
2014_36,Amazonas,0
2014_36,Manaus,0
2014_37,Brazil,0
2014_37,Amazonas,0
2014_37,Manaus,0
2014_38,Brazil,0
2014_38,Amazonas,0
2014_38,Manaus,0
2014_39,Brazil,0
2014_39,Amazonas,0
2014_39,Manaus,0
2014_40,Brazil,0
2014_40,Amazonas,0
2014_40,Manaus,0
2014_41,Brazil,0
2014_41,Amazonas,0
2014_41,Manaus,0
2014_42,Brazil,0
2014_42,Amazonas,0
2014_42,Manaus,0
2014_43,Brazil,0
2014_43,Amazonas,0
2014_43,Manaus,0
2014_44,Brazil,0
2014_44,Amazonas,0
2014_44,Manaus,0
2014_45,Brazil,0.00098483
2014_45,Amazonas,0.025370324
2014_45,Manaus,0.048456914
2014_46,Brazil,0
2014_46,Amazonas,0
2014_46,Manaus,0
2014_47,Brazil,0
2014_47,Amazonas,0
2014_47,Manaus,0
2014_48,Brazil,0.000492415
2014_48,Amazonas,0
2014_48,Manaus,0
2014_49,Brazil,0.001477245
2014_49,Amazonas,0
2014_49,Manaus,0
2014_50,Brazil,0.00098483
2014_50,Amazonas,0
2014_50,Manaus,0
2014_51,Brazil,0.000492415
2014_51,Amazonas,0
2014_51,Manaus,0
2014_52,Brazil,0.00098483
2014_52,Amazonas,0
2014_52,Manaus,0
2014_53,Brazil,0
2014_53,Amazonas,0
2014_53,Manaus,0
2015_01,Brazil,0.00098483
2015_01,Amazonas,0
2015_01,Manaus,0
2015_02,Brazil,0.000492415
2015_02,Amazonas,0
2015_02,Manaus,0
2015_03,Brazil,0.001477245
2015_03,Amazonas,0.050740649
2015_03,Manaus,0.096913828
2015_04,Brazil,0.00196966
2015_04,Amazonas,0
2015_04,Manaus,0
2015_05,Brazil,0.00196966
2015_05,Amazonas,0
2015_05,Manaus,0
2015_06,Brazil,0
2015_06,Amazonas,0
2015_06,Manaus,0
2015_07,Brazil,0.00098483
2015_07,Amazonas,0
2015_07,Manaus,0
2015_08,Brazil,0.000492415
2015_08,Amazonas,0
2015_08,Manaus,0
2015_09,Brazil,0.00098483
2015_09,Amazonas,0
2015_09,Manaus,0
2015_10,Brazil,0.004431735
2015_10,Amazonas,0
2015_10,Manaus,0
2015_11,Brazil,0.002462075
2015_11,Amazonas,0.050740649
2015_11,Manaus,0.096913828
2015_12,Brazil,0.00295449
2015_12,Amazonas,0
2015_12,Manaus,0
2015_13,Brazil,0.00196966
2015_13,Amazonas,0
2015_13,Manaus,0
2015_14,Brazil,0.00196966
2015_14,Amazonas,0
2015_14,Manaus,0
2015_15,Brazil,0.00393932
2015_15,Amazonas,0.050740649
2015_15,Manaus,0.096913828
2015_16,Brazil,0.000492415
2015_16,Amazonas,0
2015_16,Manaus,0
2015_17,Brazil,0
2015_17,Amazonas,0
2015_17,Manaus,0
2015_18,Brazil,0.001477245
2015_18,Amazonas,0
2015_18,Manaus,0
2015_19,Brazil,0.00098483
2015_19,Amazonas,0.050740649
2015_19,Manaus,0.096913828
2015_20,Brazil,0
2015_20,Amazonas,0
2015_20,Manaus,0
2015_21,Brazil,0
2015_21,Amazonas,0
2015_21,Manaus,0
2015_22,Brazil,0.000492415
2015_22,Amazonas,0
2015_22,Manaus,0
2015_23,Brazil,0.000492415
2015_23,Amazonas,0
2015_23,Manaus,0
2015_24,Brazil,0.00196966
2015_24,Amazonas,0
2015_24,Manaus,0
2015_25,Brazil,0
2015_25,Amazonas,0
2015_25,Manaus,0
2015_26,Brazil,0
2015_26,Amazonas,0
2015_26,Manaus,0
2015_27,Brazil,0
2015_27,Amazonas,0
2015_27,Manaus,0
2015_28,Brazil,0
2015_28,Amazonas,0
2015_28,Manaus,0
2015_29,Brazil,0
2015_29,Amazonas,0
2015_29,Manaus,0
2015_30,Brazil,0
2015_30,Amazonas,0
2015_30,Manaus,0
2015_31,Brazil,0.001477245
2015_31,Amazonas,0
2015_31,Manaus,0
2015_32,Brazil,0.001477245
2015_32,Amazonas,0.050740649
2015_32,Manaus,0.096913828
2015_33,Brazil,0
2015_33,Amazonas,0
2015_33,Manaus,0
2015_34,Brazil,0
2015_34,Amazonas,0
2015_34,Manaus,0
2015_35,Brazil,0.000492415
2015_35,Amazonas,0.025370324
2015_35,Manaus,0.048456914
2015_36,Brazil,0.000492415
2015_36,Amazonas,0
2015_36,Manaus,0
2015_37,Brazil,0.000492415
2015_37,Amazonas,0
2015_37,Manaus,0
2015_38,Brazil,0.00098483
2015_38,Amazonas,0
2015_38,Manaus,0
2015_39,Brazil,0
2015_39,Amazonas,0
2015_39,Manaus,0
2015_40,Brazil,0.00098483
2015_40,Amazonas,0
2015_40,Manaus,0
2015_41,Brazil,0
2015_41,Amazonas,0
2015_41,Manaus,0
2015_42,Brazil,0
2015_42,Amazonas,0
2015_42,Manaus,0
2015_43,Brazil,0
2015_43,Amazonas,0
2015_43,Manaus,0
2015_44,Brazil,0
2015_44,Amazonas,0
2015_44,Manaus,0
2015_45,Brazil,0.00098483
2015_45,Amazonas,0
2015_45,Manaus,0
2015_46,Brazil,0.000492415
2015_46,Amazonas,0
2015_46,Manaus,0
2015_47,Brazil,0
2015_47,Amazonas,0
2015_47,Manaus,0
2015_48,Brazil,0
2015_48,Amazonas,0
2015_48,Manaus,0
2015_49,Brazil,0
2015_49,Amazonas,0
2015_49,Manaus,0
2015_50,Brazil,0
2015_50,Amazonas,0
2015_50,Manaus,0
2015_51,Brazil,0
2015_51,Amazonas,0
2015_51,Manaus,0
2015_52,Brazil,0
2015_52,Amazonas,0
2015_52,Manaus,0
2016_01,Brazil,0
2016_01,Amazonas,0
2016_01,Manaus,0
2016_02,Brazil,0
2016_02,Amazonas,0
2016_02,Manaus,0
2016_03,Brazil,0
2016_03,Amazonas,0
2016_03,Manaus,0
2016_04,Brazil,0
2016_04,Amazonas,0
2016_04,Manaus,0
2016_05,Brazil,0
2016_05,Amazonas,0
2016_05,Manaus,0
2016_06,Brazil,0
2016_06,Amazonas,0
2016_06,Manaus,0
2016_07,Brazil,0
2016_07,Amazonas,0
2016_07,Manaus,0
2016_08,Brazil,0.00098483
2016_08,Amazonas,0
2016_08,Manaus,0
2016_09,Brazil,0
2016_09,Amazonas,0
2016_09,Manaus,0
2016_10,Brazil,0.000492415
2016_10,Amazonas,0
2016_10,Manaus,0
2016_11,Brazil,0.000492415
2016_11,Amazonas,0
2016_11,Manaus,0
2016_12,Brazil,0.00196966
2016_12,Amazonas,0
2016_12,Manaus,0
2016_13,Brazil,0.000492415
2016_13,Amazonas,0
2016_13,Manaus,0
2016_14,Brazil,0
2016_14,Amazonas,0
2016_14,Manaus,0
2016_15,Brazil,0.000492415
2016_15,Amazonas,0
2016_15,Manaus,0
2016_16,Brazil,0.000492415
2016_16,Amazonas,0
2016_16,Manaus,0
2016_17,Brazil,0.00098483
2016_17,Amazonas,0
2016_17,Manaus,0
2016_18,Brazil,0
2016_18,Amazonas,0
2016_18,Manaus,0
2016_19,Brazil,0
2016_19,Amazonas,0
2016_19,Manaus,0
2016_20,Brazil,0.000492415
2016_20,Amazonas,0
2016_20,Manaus,0
2016_21,Brazil,0
2016_21,Amazonas,0
2016_21,Manaus,0
2016_22,Brazil,0
2016_22,Amazonas,0
2016_22,Manaus,0
2016_23,Brazil,0.00196966
2016_23,Amazonas,0
2016_23,Manaus,0
2016_24,Brazil,0
2016_24,Amazonas,0
2016_24,Manaus,0
2016_25,Brazil,0.002462075
2016_25,Amazonas,0
2016_25,Manaus,0
2016_26,Brazil,0
2016_26,Amazonas,0
2016_26,Manaus,0
2016_27,Brazil,0.000492415
2016_27,Amazonas,0
2016_27,Manaus,0
2016_28,Brazil,0
2016_28,Amazonas,0
2016_28,Manaus,0
2016_29,Brazil,0.000492415
2016_29,Amazonas,0
2016_29,Manaus,0
2016_30,Brazil,0.008371054
2016_30,Amazonas,0
2016_30,Manaus,0
2016_31,Brazil,0
2016_31,Amazonas,0
2016_31,Manaus,0
2016_32,Brazil,0.000492415
2016_32,Amazonas,0
2016_32,Manaus,0
2016_33,Brazil,0.00393932
2016_33,Amazonas,0
2016_33,Manaus,0
2016_34,Brazil,0.001477245
2016_34,Amazonas,0
2016_34,Manaus,0
2016_35,Brazil,0.001477245
2016_35,Amazonas,0.050740649
2016_35,Manaus,0
2016_36,Brazil,0.000492415
2016_36,Amazonas,0
2016_36,Manaus,0
2016_37,Brazil,0.000492415
2016_37,Amazonas,0
2016_37,Manaus,0
2016_38,Brazil,0.001477245
2016_38,Amazonas,0
2016_38,Manaus,0
2016_39,Brazil,0.000492415
2016_39,Amazonas,0
2016_39,Manaus,0
2016_40,Brazil,0.000492415
2016_40,Amazonas,0
2016_40,Manaus,0
2016_41,Brazil,0
2016_41,Amazonas,0
2016_41,Manaus,0
2016_42,Brazil,0
2016_42,Amazonas,0
2016_42,Manaus,0
2016_43,Brazil,0
2016_43,Amazonas,0
2016_43,Manaus,0
2016_44,Brazil,0.000492415
2016_44,Amazonas,0
2016_44,Manaus,0
2016_45,Brazil,0
2016_45,Amazonas,0
2016_45,Manaus,0
2016_46,Brazil,0
2016_46,Amazonas,0
2016_46,Manaus,0
2016_47,Brazil,0.00098483
2016_47,Amazonas,0
2016_47,Manaus,0
2016_48,Brazil,0.000492415
2016_48,Amazonas,0
2016_48,Manaus,0
2016_49,Brazil,0
2016_49,Amazonas,0
2016_49,Manaus,0
2016_50,Brazil,0
2016_50,Amazonas,0
2016_50,Manaus,0
2016_51,Brazil,0
2016_51,Amazonas,0
2016_51,Manaus,0
2016_52,Brazil,0
2016_52,Amazonas,0
2016_52,Manaus,0
2017_01,Brazil,0
2017_01,Amazonas,0
2017_01,Manaus,0
2017_02,Brazil,0.00098483
2017_02,Amazonas,0
2017_02,Manaus,0
2017_03,Brazil,0.000492415
2017_03,Amazonas,0
2017_03,Manaus,0
2017_04,Brazil,0
2017_04,Amazonas,0
2017_04,Manaus,0
2017_05,Brazil,0
2017_05,Amazonas,0
2017_05,Manaus,0
2017_06,Brazil,0
2017_06,Amazonas,0
2017_06,Manaus,0
2017_07,Brazil,0
2017_07,Amazonas,0
2017_07,Manaus,0
2017_08,Brazil,0.000492415
2017_08,Amazonas,0
2017_08,Manaus,0
2017_09,Brazil,0
2017_09,Amazonas,0
2017_09,Manaus,0
2017_10,Brazil,0.000492415
2017_10,Amazonas,0
2017_10,Manaus,0
2017_11,Brazil,0
2017_11,Amazonas,0
2017_11,Manaus,0
2017_12,Brazil,0
2017_12,Amazonas,0
2017_12,Manaus,0
2017_13,Brazil,0
2017_13,Amazonas,0
2017_13,Manaus,0
2017_14,Brazil,0
2017_14,Amazonas,0
2017_14,Manaus,0
2017_15,Brazil,0
2017_15,Amazonas,0
2017_15,Manaus,0
2017_16,Brazil,0.000492415
2017_16,Amazonas,0
2017_16,Manaus,0
2017_17,Brazil,0
2017_17,Amazonas,0
2017_17,Manaus,0
2017_18,Brazil,0
2017_18,Amazonas,0
2017_18,Manaus,0
2017_19,Brazil,0
2017_19,Amazonas,0
2017_19,Manaus,0
2017_20,Brazil,0
2017_20,Amazonas,0
2017_20,Manaus,0
2017_21,Brazil,0
2017_21,Amazonas,0
2017_21,Manaus,0
2017_22,Brazil,0
2017_22,Amazonas,0
2017_22,Manaus,0
2017_23,Brazil,0
2017_23,Amazonas,0
2017_23,Manaus,0
2017_24,Brazil,0
2017_24,Amazonas,0
2017_24,Manaus,0
2017_25,Brazil,0.000492415
2017_25,Amazonas,0
2017_25,Manaus,0
2017_26,Brazil,0
2017_26,Amazonas,0
2017_26,Manaus,0
2017_27,Brazil,0
2017_27,Amazonas,0
2017_27,Manaus,0
2017_28,Brazil,0.000492415
2017_28,Amazonas,0
2017_28,Manaus,0
2017_29,Brazil,0
2017_29,Amazonas,0
2017_29,Manaus,0
2017_30,Brazil,0
2017_30,Amazonas,0
2017_30,Manaus,0
2017_31,Brazil,0
2017_31,Amazonas,0
2017_31,Manaus,0
2017_32,Brazil,0
2017_32,Amazonas,0
2017_32,Manaus,0
2017_33,Brazil,0
2017_33,Amazonas,0
2017_33,Manaus,0
2017_34,Brazil,0
2017_34,Amazonas,0
2017_34,Manaus,0
2017_35,Brazil,0.000492415
2017_35,Amazonas,0
2017_35,Manaus,0
2017_36,Brazil,0
2017_36,Amazonas,0
2017_36,Manaus,0
2017_37,Brazil,0
2017_37,Amazonas,0
2017_37,Manaus,0
2017_38,Brazil,0
2017_38,Amazonas,0
2017_38,Manaus,0
2017_39,Brazil,0
2017_39,Amazonas,0
2017_39,Manaus,0
2017_40,Brazil,0
2017_40,Amazonas,0
2017_40,Manaus,0
2017_41,Brazil,0
2017_41,Amazonas,0
2017_41,Manaus,0
2017_42,Brazil,0
2017_42,Amazonas,0
2017_42,Manaus,0
2017_43,Brazil,0
2017_43,Amazonas,0
2017_43,Manaus,0
2017_44,Brazil,0
2017_44,Amazonas,0
2017_44,Manaus,0
2017_45,Brazil,0
2017_45,Amazonas,0
2017_45,Manaus,0
2017_46,Brazil,0
2017_46,Amazonas,0
2017_46,Manaus,0
2017_47,Brazil,0
2017_47,Amazonas,0
2017_47,Manaus,0
2017_48,Brazil,0
2017_48,Amazonas,0
2017_48,Manaus,0
2017_49,Brazil,0
2017_49,Amazonas,0
2017_49,Manaus,0
2017_50,Brazil,0.00098483
2017_50,Amazonas,0
2017_50,Manaus,0
2017_51,Brazil,0
2017_51,Amazonas,0
2017_51,Manaus,0
2017_52,Brazil,0
2017_52,Amazonas,0
2017_52,Manaus,0
2018_01,Brazil,0
2018_01,Amazonas,0
2018_01,Manaus,0
2018_02,Brazil,0.000492415
2018_02,Amazonas,0
2018_02,Manaus,0
2018_03,Brazil,0.000492415
2018_03,Amazonas,0
2018_03,Manaus,0
2018_04,Brazil,0.00393932
2018_04,Amazonas,0
2018_04,Manaus,0
2018_05,Brazil,0.005908979
2018_05,Amazonas,0
2018_05,Manaus,0
2018_06,Brazil,0.010833129
2018_06,Amazonas,0
2018_06,Manaus,0
2018_07,Brazil,0.008371054
2018_07,Amazonas,0
2018_07,Manaus,0
2018_08,Brazil,0.011817959
2018_08,Amazonas,0
2018_08,Manaus,0
2018_09,Brazil,0.010340714
2018_09,Amazonas,0
2018_09,Manaus,0
2018_10,Brazil,0.004924149
2018_10,Amazonas,0
2018_10,Manaus,0
2018_11,Brazil,0.002462075
2018_11,Amazonas,0
2018_11,Manaus,0
2018_12,Brazil,0.005908979
2018_12,Amazonas,0
2018_12,Manaus,0
2018_13,Brazil,0.003446905
2018_13,Amazonas,0
2018_13,Manaus,0
2018_14,Brazil,0.006401394
2018_14,Amazonas,0
2018_14,Manaus,0
2018_15,Brazil,0.010340714
2018_15,Amazonas,0
2018_15,Manaus,0
2018_16,Brazil,0.010833129
2018_16,Amazonas,0
2018_16,Manaus,0
2018_17,Brazil,0.010833129
2018_17,Amazonas,0
2018_17,Manaus,0
2018_18,Brazil,0.005416564
2018_18,Amazonas,0
2018_18,Manaus,0
2018_19,Brazil,0.004924149
2018_19,Amazonas,0
2018_19,Manaus,0
2018_20,Brazil,0.00393932
2018_20,Amazonas,0
2018_20,Manaus,0
2018_21,Brazil,0.00196966
2018_21,Amazonas,0
2018_21,Manaus,0
2018_22,Brazil,0.00295449
2018_22,Amazonas,0
2018_22,Manaus,0
2018_23,Brazil,0.00295449
2018_23,Amazonas,0
2018_23,Manaus,0
2018_24,Brazil,0.004924149
2018_24,Amazonas,0.025370324
2018_24,Manaus,0.048456914
2018_25,Brazil,0.002462075
2018_25,Amazonas,0
2018_25,Manaus,0
2018_26,Brazil,0
2018_26,Amazonas,0
2018_26,Manaus,0
2018_27,Brazil,0.00098483
2018_27,Amazonas,0
2018_27,Manaus,0
2018_28,Brazil,0.00098483
2018_28,Amazonas,0
2018_28,Manaus,0
2018_29,Brazil,0.00098483
2018_29,Amazonas,0
2018_29,Manaus,0
2018_30,Brazil,0.000492415
2018_30,Amazonas,0
2018_30,Manaus,0
2018_31,Brazil,0
2018_31,Amazonas,0
2018_31,Manaus,0
2018_32,Brazil,0.00196966
2018_32,Amazonas,0
2018_32,Manaus,0
2018_33,Brazil,0.000492415
2018_33,Amazonas,0
2018_33,Manaus,0
2018_34,Brazil,0.001477245
2018_34,Amazonas,0
2018_34,Manaus,0
2018_35,Brazil,0.00098483
2018_35,Amazonas,0
2018_35,Manaus,0
2018_36,Brazil,0.000492415
2018_36,Amazonas,0
2018_36,Manaus,0
2018_37,Brazil,0.000492415
2018_37,Amazonas,0
2018_37,Manaus,0
2018_38,Brazil,0.000492415
2018_38,Amazonas,0
2018_38,Manaus,0
2018_39,Brazil,0.001477245
2018_39,Amazonas,0
2018_39,Manaus,0
2018_40,Brazil,0.002462075
2018_40,Amazonas,0
2018_40,Manaus,0
2018_41,Brazil,0
2018_41,Amazonas,0
2018_41,Manaus,0
2018_42,Brazil,0.00196966
2018_42,Amazonas,0
2018_42,Manaus,0
2018_43,Brazil,0.00196966
2018_43,Amazonas,0
2018_43,Manaus,0
2018_44,Brazil,0.00098483
2018_44,Amazonas,0
2018_44,Manaus,0
2018_45,Brazil,0.00098483
2018_45,Amazonas,0
2018_45,Manaus,0
2018_46,Brazil,0.000492415
2018_46,Amazonas,0
2018_46,Manaus,0
2018_47,Brazil,0
2018_47,Amazonas,0
2018_47,Manaus,0
2018_48,Brazil,0.000492415
2018_48,Amazonas,0
2018_48,Manaus,0
2018_49,Brazil,0.00098483
2018_49,Amazonas,0
2018_49,Manaus,0
2018_50,Brazil,0.000492415
2018_50,Amazonas,0
2018_50,Manaus,0
2018_51,Brazil,0.000492415
2018_51,Amazonas,0
2018_51,Manaus,0
2018_52,Brazil,0
2018_52,Amazonas,0
2018_52,Manaus,0
2019_01,Brazil,0.00196966
2019_01,Amazonas,0
2019_01,Manaus,0
2019_02,Brazil,0.00196966
2019_02,Amazonas,0
2019_02,Manaus,0
2019_03,Brazil,0.00098483
2019_03,Amazonas,0
2019_03,Manaus,0
2019_04,Brazil,0.001477245
2019_04,Amazonas,0
2019_04,Manaus,0
2019_05,Brazil,0.001477245
2019_05,Amazonas,0
2019_05,Manaus,0
2019_06,Brazil,0.00295449
2019_06,Amazonas,0
2019_06,Manaus,0
2019_07,Brazil,0
2019_07,Amazonas,0
2019_07,Manaus,0
2019_08,Brazil,0.00196966
2019_08,Amazonas,0
2019_08,Manaus,0
2019_09,Brazil,0
2019_09,Amazonas,0
2019_09,Manaus,0
2019_10,Brazil,0
2019_10,Amazonas,0
2019_10,Manaus,0
2019_11,Brazil,0.00098483
2019_11,Amazonas,0
2019_11,Manaus,0
2019_12,Brazil,0.00295449
2019_12,Amazonas,0
2019_12,Manaus,0
2019_13,Brazil,0.001477245
2019_13,Amazonas,0
2019_13,Manaus,0
2019_14,Brazil,0.001477245
2019_14,Amazonas,0
2019_14,Manaus,0
2019_15,Brazil,0.00098483
2019_15,Amazonas,0
2019_15,Manaus,0
2019_16,Brazil,0.00098483
2019_16,Amazonas,0
2019_16,Manaus,0
2019_17,Brazil,0.00196966
2019_17,Amazonas,0
2019_17,Manaus,0
2019_18,Brazil,0.00098483
2019_18,Amazonas,0
2019_18,Manaus,0
2019_19,Brazil,0.003446905
2019_19,Amazonas,0.050740649
2019_19,Manaus,0.096913828
2019_20,Brazil,0.00098483
2019_20,Amazonas,0
2019_20,Manaus,0
2019_21,Brazil,0.000492415
2019_21,Amazonas,0
2019_21,Manaus,0
2019_22,Brazil,0.000492415
2019_22,Amazonas,0
2019_22,Manaus,0
2019_23,Brazil,0
2019_23,Amazonas,0
2019_23,Manaus,0
2019_24,Brazil,0
2019_24,Amazonas,0
2019_24,Manaus,0
2019_25,Brazil,0.000492415
2019_25,Amazonas,0
2019_25,Manaus,0
2019_26,Brazil,0
2019_26,Amazonas,0
2019_26,Manaus,0
2019_27,Brazil,0.00196966
2019_27,Amazonas,0
2019_27,Manaus,0
2019_28,Brazil,0
2019_28,Amazonas,0
2019_28,Manaus,0
2019_29,Brazil,0.000492415
2019_29,Amazonas,0
2019_29,Manaus,0
2019_30,Brazil,0
2019_30,Amazonas,0
2019_30,Manaus,0
2019_31,Brazil,0.000492415
2019_31,Amazonas,0
2019_31,Manaus,0
2019_32,Brazil,0.000492415
2019_32,Amazonas,0
2019_32,Manaus,0
2019_33,Brazil,0.000492415
2019_33,Amazonas,0
2019_33,Manaus,0
2019_34,Brazil,0
2019_34,Amazonas,0
2019_34,Manaus,0
2019_35,Brazil,0
2019_35,Amazonas,0
2019_35,Manaus,0
2019_36,Brazil,0
2019_36,Amazonas,0
2019_36,Manaus,0
2019_37,Brazil,0.000492415
2019_37,Amazonas,0
2019_37,Manaus,0
2019_38,Brazil,0
2019_38,Amazonas,0
2019_38,Manaus,0
2019_39,Brazil,0.002462075
2019_39,Amazonas,0
2019_39,Manaus,0
2019_40,Brazil,0.00098483
2019_40,Amazonas,0
2019_40,Manaus,0
2019_41,Brazil,0
2019_41,Amazonas,0
