Status,Prevalence
post-outbreak,19.52054795
post-outbreak,43.07692308
post-outbreak,51.57232704
post-outbreak,34.61538462
post-outbreak,35.16260163
post-outbreak,18.16578483
post-outbreak,29.2834891
post-outbreak,24.08759124
post-outbreak,45.45454545
post-outbreak,40.17857143
post-outbreak,21.17263844
post-outbreak,14.22885572
post-outbreak,76.27118644
post-outbreak,51.19047619
post-outbreak,44.87895717
post-outbreak,18.60465116
post-outbreak,16.75977654
post-outbreak,14.91935484
post-outbreak,64.97461929
post-outbreak,17.64705882
post-outbreak,82.77027027
post-outbreak,33.7408313
pre-outbreak,2.307692308
pre-outbreak,0
pre-outbreak,0.566572238
pre-outbreak,0.641025641
pre-outbreak,0.906735751
pre-outbreak,1.844583987
pre-outbreak,0.37817396
post-outbreak,8.571428571
post-outbreak,25.80645161
post-outbreak,52.13675214
pre-outbreak,5.351681957
post-outbreak,76.54028436
post-outbreak,73.33333333
post-outbreak,14.85053038
pre-outbreak,5.635566688
pre-outbreak,0.927357032
pre-outbreak,5.882352941
post-outbreak,7.01754386
pre-outbreak,0
post-outbreak,33.33333333
post-outbreak,14.28571429
pre-outbreak,0
pre-outbreak,0
pre-outbreak,0.657894737
pre-outbreak,3.041825095
pre-outbreak,2.5
pre-outbreak,0
post-outbreak,41.11111111
post-outbreak,9.090909091
pre-outbreak,0
post-outbreak,14.78060046
post-outbreak,42.47787611
pre-outbreak,1.10701107
pre-outbreak,1.986754967
pre-outbreak,1.954397394
pre-outbreak,1.261034048
post-outbreak,10.75268817
pre-outbreak,7.142857143
pre-outbreak,1.515151515
pre-outbreak,1.93236715
pre-outbreak,0
pre-outbreak,0.921658986
pre-outbreak,0
pre-outbreak,4.347826087
pre-outbreak,0
pre-outbreak,1.918465228
pre-outbreak,4.938271605
pre-outbreak,0
pre-outbreak,0.23923445
pre-outbreak,2.58780037
pre-outbreak,0.565681961
pre-outbreak,0.759493671
pre-outbreak,3.584229391
pre-outbreak,1.086956522
pre-outbreak,0.74937552
pre-outbreak,1.086956522
pre-outbreak,7.456140351
pre-outbreak,1.364764268
pre-outbreak,0.625
pre-outbreak,2.721088435
pre-outbreak,1.612903226
pre-outbreak,1.25
pre-outbreak,3.529411765
pre-outbreak,1.814516129
pre-outbreak,1.515151515
post-outbreak,7.480314961
pre-outbreak,0
pre-outbreak,0.278551532
pre-outbreak,2.255639098
pre-outbreak,0
pre-outbreak,0
pre-outbreak,0.502512563
pre-outbreak,0
pre-outbreak,1.432664756
pre-outbreak,0.571428571
post-outbreak,27.95698925
pre-outbreak,1
pre-outbreak,1.086956522
pre-outbreak,0
post-outbreak,13.33333333
pre-outbreak,1.351351351
pre-outbreak,0
post-outbreak,8.571428571
pre-outbreak,5.454545455
pre-outbreak,0
pre-outbreak,0
post-outbreak,8.571428571
pre-outbreak,0
pre-outbreak,0
post-outbreak,4.081632653
post-outbreak,15
post-outbreak,2.577319588
post-outbreak,2.857142857
pre-outbreak,0
pre-outbreak,0
pre-outbreak,5.952380952
post-outbreak,37.37373737
pre-outbreak,3.846153846
pre-outbreak,2.941176471
pre-outbreak,1.785714286
pre-outbreak,0
pre-outbreak,0
pre-outbreak,0
pre-outbreak,0.85106383
pre-outbreak,0
pre-outbreak,0.775193798
pre-outbreak,0
pre-outbreak,0
pre-outbreak,1.19760479
pre-outbreak,3.076923077
pre-outbreak,3.082191781
post-outbreak,16.66666667
pre-outbreak,0
pre-outbreak,0
pre-outbreak,0
pre-outbreak,0
pre-outbreak,0
post-outbreak,13.79310345
post-outbreak,25
pre-outbreak,0.485436893
pre-outbreak,3.018108652
post-outbreak,0
post-outbreak,8.823529412
post-outbreak,9.523809524
post-outbreak,6.034482759
pre-outbreak,1.204819277
pre-outbreak,0.543478261
pre-outbreak,0
pre-outbreak,0
post-outbreak,13.33333333
pre-outbreak,0
pre-outbreak,0
pre-outbreak,0
post-outbreak,11.11111111
post-outbreak,7.692307692
pre-outbreak,0
pre-outbreak,0
pre-outbreak,4.347826087
pre-outbreak,0
pre-outbreak,0
post-outbreak,9.923664122
post-outbreak,15.90909091
pre-outbreak,0
pre-outbreak,0
post-outbreak,19.04761905
pre-outbreak,5.555555556
pre-outbreak,0
pre-outbreak,0
post-outbreak,0
post-outbreak,0
post-outbreak,15.06849315
pre-outbreak,1.632653061
pre-outbreak,1.442307692
pre-outbreak,6.382978723
post-outbreak,0
post-outbreak,25
post-outbreak,12.5
post-outbreak,8.108108108
post-outbreak,7.236842105
post-outbreak,18.0952381
post-outbreak,31.99300699
pre-outbreak,0
pre-outbreak,0
pre-outbreak,1.315789474
pre-outbreak,1.680672269